"date","new_cases"
"566","2021-07-21",16723
"567","2021-07-22",21386
"568","2021-07-23",21769
"569","2021-07-24",19052
"570","2021-07-25",23373
"571","2021-07-26",15233
"572","2021-07-27",5154
"573","2021-07-28",24127
"574","2021-07-29",27798
"575","2021-07-30",21259
"576","2021-07-31",22043
"577","2021-08-01",22785
"578","2021-08-02",19600
"579","2021-08-03",5184
"580","2021-08-04",20508
"581","2021-08-05",27856
"582","2021-08-06",25481
"583","2021-08-07",22643
"584","2021-08-08",24960
"585","2021-08-09",20422
"586","2021-08-10",672
"587","2021-08-11",24236
"588","2021-08-12",30757
"589","2021-08-13",26647
"590","2021-08-14",22502
"591","2021-08-15",24427
"592","2021-08-16",21125
"593","2021-08-17",5829
"594","2021-08-18",17104
"595","2021-08-19",27437
"596","2021-08-20",23102
"597","2021-08-21",18918
"598","2021-08-22",22636
"599","2021-08-23",17282
"600","2021-08-24",3857
"601","2021-08-25",22905
"602","2021-08-26",22610
"603","2021-08-27",18812
"604","2021-08-28",10563
"605","2021-08-29",17381
"606","2021-08-30",13589
"607","2021-08-31",2132
"608","2021-09-01",17441
"609","2021-09-02",17102
"610","2021-09-03",15353
"611","2021-09-04",8708
"612","2021-09-05",13143
"613","2021-09-06",10360
"614","2021-09-07",2310
"615","2021-09-08",12851
"616","2021-09-09",12348
"617","2021-09-10",10649
"618","2021-09-11",7575
"619","2021-09-12",9408
"620","2021-09-13",7653
"621","2021-09-14",415
"622","2021-09-15",9944
"623","2021-09-16",8686
"624","2021-09-17",7690
"625","2021-09-18",5898
"626","2021-09-19",7414
"627","2021-09-20",5814
"628","2021-09-21",180
"629","2021-09-22",7465
"630","2021-09-23",6400
"631","2021-09-24",6110
"632","2021-09-25",4527
"633","2021-09-26",6012
"634","2021-09-27",4683
"635","2021-09-28",1161
"636","2021-09-29",5859
"637","2021-09-30",5479
"638","2021-10-01",4858
"639","2021-10-02",4124
"640","2021-10-03",4948
"641","2021-10-04",3744
"642","2021-10-05",1138
"643","2021-10-06",3875
"644","2021-10-07",4632
"645","2021-10-08",4281
"646","2021-10-09",3897
"647","2021-10-10",4734
"648","2021-10-11",3991
"649","2021-10-12",635
"650","2021-10-13",5583
"651","2021-10-14",5340
"652","2021-10-15",4932
"653","2021-10-16",5626
"654","2021-10-17",4899
"655","2021-10-18",3778
"656","2021-10-19",757
"657","2021-10-20",5689
"658","2021-10-21",5796
"659","2021-10-22",5498
"660","2021-10-23",6058
"661","2021-10-24",6169
"662","2021-10-25",4993
"663","2021-10-26",1011
"664","2021-10-27",6251
"665","2021-10-28",6437
"666","2021-10-29",6126
"667","2021-10-30",6061
"668","2021-10-31",7285
"669","2021-11-01",6329
"670","2021-11-02",1834
"671","2021-11-03",1859
"672","2021-11-04",9503
"673","2021-11-05",9373
"674","2021-11-06",8451
"675","2021-11-07",9537
"676","2021-11-08",8489
"677","2021-11-09",1958
"678","2021-11-10",11500
"679","2021-11-11",11822
"680","2021-11-12",12504
"681","2021-11-13",3600
"682","2021-11-14",14645
"683","2021-11-15",12475
"684","2021-11-16",3162
"685","2021-11-17",18413
"686","2021-11-18",20201
"687","2021-11-19",19840
"688","2021-11-20",20847
"689","2021-11-21",22568
"690","2021-11-22",19749
"691","2021-11-23",5201
"692","2021-11-24",28255
"693","2021-11-25",32451
"694","2021-11-26",33320
"695","2021-11-27",34251
"696","2021-11-28",37137
"697","2021-11-29",31642
"698","2021-11-30",5981
"699","2021-12-01",46975
"700","2021-12-02",49563
"701","2021-12-03",48129
"702","2021-12-04",49549
"703","2021-12-05",51523
"704","2021-12-06",42222
"705","2021-12-07",8530
"706","2021-12-08",58796
"707","2021-12-09",61148
"708","2021-12-10",56609
"709","2021-12-11",55020
"710","2021-12-12",53647
